;y_test_0;y_pred_0;y_test_1;y_pred_1;y_test_2;y_pred_2;y_test_3;y_pred_3
0;15.10392;16.20933;21.58499;24.263998;15.10392;22.490854;21.58499;24.672674
1;66.571596;66.36223;31.513245;32.985;66.571596;269.17078;31.513245;29.28227
2;64.623092;57.044155;37.909053;37.528522;64.623092;57.808773;37.909053;28.229128
3;33.470494;30.33925;20.10568;17.688728;33.470494;14.467004;20.10568;28.265266
4;607.67706;653.3008;20.95716;28.880184;607.67706;251.55772;20.95716;25.238104
5;26.096812;26.370043;31.176335;32.492004;26.096812;27.39231;31.176335;32.638382
6;29.109366;29.035158;12.260556;13.3034935;29.109366;32.74296;12.260556;18.524477
7;11.253905;8.179526;44.01104;37.40835;11.253905;-1.8710887;44.01104;40.72779
8;36.5547;35.476994;33.797258;40.680428;36.5547;55.934185;33.797258;44.72239
9;27.912624;27.18088;49.11075;48.72129;27.912624;47.417095;49.11075;33.672592
10;27.19548;21.862673;17.08938;17.23457;27.19548;31.457144;17.08938;21.459476
11;31.347432;27.818163;23.266928;29.471813;31.347432;12.798791;23.266928;29.541998
12;35.89005;28.236666;11.441232;10.3027315;35.89005;36.651516;11.441232;8.583433
13;24.630767;23.684145;10.774881;12.130385;24.630767;26.813795;10.774881;15.379701
14;46.606144;44.535976;31.340452;30.72317;46.606144;25.209246;31.340452;33.334904
15;35.960372;28.416094;16.930438;18.060333;35.960372;34.007977;16.930438;20.40417
16;30.48558;32.48468;29.578636;39.510242;30.48558;34.396183;29.578636;33.37084
17;15.704393;19.236788;15.566634;13.161348;15.704393;22.532934;15.566634;22.961304
18;22.786396;27.927317;60.126039;59.084015;22.786396;32.33611;60.126039;45.96705
19;50.188614;49.408855;16.43895;12.147306;50.188614;55.192135;16.43895;33.31643
20;470.19915;544.7051;30.383136;32.357414;470.19915;187.00725;30.383136;32.474487
21;33.325695;41.975838;15.09099;13.631996;33.325695;146.24147;15.09099;26.605286
22;23.58055;16.134417;64.753173;57.501114;23.58055;17.796926;64.753173;47.3145
23;40.607197;48.73657;8.64435;8.555847;40.607197;37.862286;8.64435;8.721079
24;30.03014;25.678812;32.874005;31.918743;30.03014;23.558805;32.874005;31.444387
25;7.74865;7.9864607;43.007811;57.450554;7.74865;-2.7587078;43.007811;60.776463
26;53.58045;49.462048;27.12507;29.198622;53.58045;51.65588;27.12507;25.554226
27;171.352528;162.4777;26.3646;30.60444;171.352528;184.35957;26.3646;33.752045
28;53.88616;52.625496;48.164811;42.496044;53.88616;38.890743;48.164811;24.878574
29;16.637751;12.448421;49.935021;44.033302;16.637751;14.283536;49.935021;31.705807
30;119.535489;140.5895;26.17626;27.559902;119.535489;131.16212;26.17626;27.123272
31;136.06553;173.4972;41.352268;35.781227;136.06553;166.15569;41.352268;30.439621
32;11.703392;9.242805;44.21088;42.091152;11.703392;19.24579;44.21088;33.078682
33;184.171219;173.79214;66.315326;48.960052;184.171219;176.32156;66.315326;33.04872
34;16.367002;19.104342;9.777096;9.350222;16.367002;17.781347;9.777096;9.22141
35;24.13788;26.32857;12.733344;14.393107;24.13788;50.814205;12.733344;25.700794
36;56.5558;50.433353;12.49787;11.743196;56.5558;67.56291;12.49787;41.427498
37;28.24164;28.507845;27.16452;26.165997;28.24164;49.33169;27.16452;24.499052
38;15.43231;12.958968;38.099312;40.65077;15.43231;31.159544;38.099312;24.722513
39;112.299202;139.05959;31.3146;23.414005;112.299202;136.43864;31.3146;18.175514
40;189.103672;173.61243;18.297864;16.774021;189.103672;192.21188;18.297864;28.21247
41;56.724724;56.094585;46.124142;45.650826;56.724724;189.07875;46.124142;33.911575
42;25.069398;24.103312;8.176707;8.790287;25.069398;21.950228;8.176707;30.4197
43;52.918602;52.806515;44.312835;50.44585;52.918602;44.71211;44.312835;40.880882
44;187.968863;166.55199;51.55916;48.946735;187.968863;159.81146;51.55916;45.09926
45;674.540928;651.01324;19.745669;20.239588;674.540928;267.44855;19.745669;20.034204
46;37.461074;42.303432;28.68858;24.950293;37.461074;50.710903;28.68858;26.632208
